"conversation_id_str,""created_at"",""favorite_count"",""full_text"",""id_str"",""image_url"",""in_reply_to_screen_name"",""lang"",""location"",""quote_count"",""reply_count"",""retweet_count"",""tweet_url"",""user_id_str"",""username""";;
"1986406826829869140,""Fri Nov 07 00:34:19 +0000 2025"",""0"",""@pan_panggeow @paopeiluvv ไม่ต้องลุ้นอีกต่อไปปป #โก๋ยโต๋ยก็โอเค"",""1986593017818730532"","""",""pan_panggeow"",""th"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1986593017818730532"",""1774412588589416448"",";;
"1986592998801744282,""Fri Nov 07 00:34:14 +0000 2025"",""2"",""มุ้งมิ้งจนน่ารัก ยิ่งมองยิ่งติดใจเลยน้า PEAKMINT AUTUMN LOVE ⁠ #พีคมิ้นท์ | #PeakMint ⁠ https://t.co/M8YnAzKEm2"",""1986592998801744282"",""https://pbs.twimg.com/media/G5HLyrPaYAAOpo5.jpg"","""",""th"","""",""0"",""0"",""2"",""https://x.com/undefined/status/1986592998801744282"",""1505435322305622019"",";;
"1986591116658143645,""Fri Nov 07 00:34:10 +0000 2025"",""1"",""@takrungzz ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅠㅠㅠㅠㅠㅜㅜㅜㅜㅜㅜㅜㅠㅠ 도도지 ㅠㅠㅠ "",""1986592981433151537"","""",""takrungzz"",""ko"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1986592981433151537"",""1853421763461554176"",";;
"1986583746099957795,""Fri Nov 07 00:32:34 +0000 2025"",""0"",""@nyanco_nyannyan いしかわさん おはようございます &amp";"ありがとうございます こちらこそよろしくお願いします"",""1986592580218618111"","""",""nyanco_nyannyan"",""ja"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1986592580218618111"",""1646084085989920768"",";
"1986592523892981855,""Fri Nov 07 00:32:21 +0000 2025"",""0"",""Hoy si hoy si hoy si la prendemos! Hoy si hoy si! Hoy si la prendemos!"",""1986592523892981855"","""","""",""es"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1986592523892981855"",""710881346747498496"",";;
"1986592480775839783,""Fri Nov 07 00:32:11 +0000 2025"",""1"",""絶対に行きます 早く行きたいなぁ JUNGKOOK CALVIN KLEIN #JUNGKOOKxCALVINKLEIN #JungkookForCalvinKlein #Jungkook #JK #정국 #グク https://t.co/XwnD384hLF"",""1986592480775839783"",""https://pbs.twimg.com/media/G5HLVLlbgAAx8iN.jpg"","""",""ja"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1986592480775839783"",""1460374708348932098"",";;
"1986592457740464339,""Fri Nov 07 00:32:05 +0000 2025"",""0"",""Y mi novio y mi novio y mi novio y mi novio y mi novio y mi novio y mi novio y mi novio."",""1986592457740464339"","""","""",""es"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1986592457740464339"",""1921728654939226112"",";;
"1986552516423905639,""Fri Nov 07 00:32:04 +0000 2025"",""1"",""@enjoycos98 黒菜ちゃんおはよう 花が背景だと綺麗に映えるね いよいよ金曜日がきたね ラストもゆるゆると頑張って楽しい週末を迎えようね 今日もよろしくね"",""1986592453563195845"","""",""enjoycos98"",""ja"","""",""0"",""1"",""0"",""https://x.com/undefined/status/1986592453563195845"",""1935393721102778373"",";;
"1986436747434336621,""Fri Nov 07 00:32:02 +0000 2025"",""0"",""@_submawarine 欲しいと言ってくださった方にはもれなくプレゼントします⭐ お渡しできるの楽しみです️"",""1986592444499304652"","""",""_submawarine"",""ja"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1986592444499304652"",""1629847576026689537"",";;
"1986592436324634868,""Fri Nov 07 00:32:00 +0000 2025"",""1"",""거기돌아왓나요?! 아놔 근데 왜 나는 아직 못 드가지 나에게도보여줘라멜론ㅡㅡㅡ"",""1986592436324634868"","""","""",""ko"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1986592436324634868"",""1092510554869153792"",";;
